"PROPOSAL_ID","THREADNAME_USERS","EXECUTION_NUMBER","ELAPSED_MS_PER_EXEC","LATENCY_MS_PER_EXEC","IDLETIME_MS_PER_EXEC"
1,Single_Click_Operation_Proposal_1 1-1,1,513,509,0
1,Single_Click_Operation_Proposal_1 1-1,2,50,50,0
1,Single_Click_Operation_Proposal_1 1-1,3,46,46,0
1,Single_Click_Operation_Proposal_1 1-2,1,48,48,0
1,Single_Click_Operation_Proposal_1 1-2,2,52,52,0
1,Single_Click_Operation_Proposal_1 1-2,3,45,45,0
1,Single_Click_Operation_Proposal_1 1-3,1,40,40,0
1,Single_Click_Operation_Proposal_1 1-3,2,45,44,0
1,Single_Click_Operation_Proposal_1 1-3,3,38,38,0
2,Single_Click_Operation_Proposal_2 2-1,1,42,42,0
2,Single_Click_Operation_Proposal_2 2-1,2,43,43,0
2,Single_Click_Operation_Proposal_2 2-1,3,41,41,0
2,Single_Click_Operation_Proposal_2 2-2,1,44,44,0
2,Single_Click_Operation_Proposal_2 2-2,2,40,40,0
2,Single_Click_Operation_Proposal_2 2-2,3,49,49,0
2,Single_Click_Operation_Proposal_2 2-3,1,49,49,0
2,Single_Click_Operation_Proposal_2 2-3,2,49,49,0
2,Single_Click_Operation_Proposal_2 2-3,3,45,44,0
3,Single_Click_Operation_Proposal_3 3-1,1,42,42,0
3,Single_Click_Operation_Proposal_3 3-1,2,98,98,0
3,Single_Click_Operation_Proposal_3 3-1,3,47,46,0
3,Single_Click_Operation_Proposal_3 3-2,1,46,45,0
3,Single_Click_Operation_Proposal_3 3-2,2,40,40,0
3,Single_Click_Operation_Proposal_3 3-2,3,42,42,0
3,Single_Click_Operation_Proposal_3 3-3,1,41,41,0
3,Single_Click_Operation_Proposal_3 3-3,2,48,48,0
3,Single_Click_Operation_Proposal_3 3-3,3,39,39,0
4,Single_Click_Operation_Proposal_4 4-1,1,38,38,0
4,Single_Click_Operation_Proposal_4 4-1,2,37,37,0
4,Single_Click_Operation_Proposal_4 4-1,3,36,36,0
4,Single_Click_Operation_Proposal_4 4-2,1,39,39,0
4,Single_Click_Operation_Proposal_4 4-2,2,38,38,0
